Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Juvenile_CD49bpos
chr9	110725826	110727482	Merged-chr9-110726922-34	Pth1r	2.3737912492929e-06	-0.916413032207683
chr5	52016950	52017902	Merged-chr5-52017300-46	Mir6417	2.3944557880469e-06	-1.19463077367358
chr2	26153278	26154918	Merged-chr2-26154068-47	Tmem250-ps	2.44810856710936e-06	-0.903023279220499
chr11	6471993	6472721	Merged-chr11-6472295-16	Purb	2.5285260986069e-06	-1.45630003980289
chr6	124921429	124921807	Merged-chr6-124921630-21	Ptms	2.57390830376956e-06	-1.71646802099755
chr6	114741981	114743054	Merged-chr6-114742546-32	Atg7	2.61107895534114e-06	-1.532902889681
chr5	35000546	35002130	Merged-chr5-35001401-52	Rgs12	2.67577674600782e-06	-0.845148490289452
chr11	106019899	106021868	Merged-chr11-106020499-51	Kcnh6	2.72421484734631e-06	-0.772131911685542
chr4	106533381	106534482	Merged-chr4-106533786-24	Dhcr24	2.72700267809326e-06	-1.07571526702415
chr8	117201013	117202276	Merged-chr8-117201723-55	Gan	2.75242000082168e-06	-0.733871742331995
chr1	58897119	58898303	Merged-chr1-58897809-57	Trak2	2.76536901346287e-06	-0.609426833892787
chr11	100647771	100648481	Merged-chr11-100648130-13	Zfp385c	2.77442965517892e-06	-2.21298370394241
chr13	105046723	105049348	Merged-chr13-105048196-81	Rgs7bp	2.81118930440109e-06	-0.581130853593516
chr7	66841942	66842338	Merged-chr7-66842143-2	Adamts17	2.8203593052352e-06	-1.07465779090986
chr5	113783791	113784130	Merged-chr5-113783967-2	Iscu	2.84653802377309e-06	-3.08077693786599
chr2	164035848	164037214	Merged-chr2-164036721-51	Pabpc1l	3.11151177342003e-06	-0.9010869666896
chr2	3909694	3911230	Merged-chr2-3910486-51	Frmd4a	3.14023044105132e-06	-1.0082664715297
chr13	38026856	38028902	Merged-chr13-38028159-56	Cage1	3.14524699548947e-06	-0.856449586449818
chr12	55299397	55299777	Merged-chr12-55299574-11	Prorp	3.15077644269872e-06	-1.53987728575859
chr8	111717408	111717754	Merged-chr8-111717581-1	Bcar1	3.15826973558517e-06	-3.39097096531116
chr5	134227571	134229966	Merged-chr5-134229325-65	Ncf1	3.17153192475353e-06	-0.526742061587746
chr1	192775568	192776157	Merged-chr1-192775875-23	Hhat	3.20399927260153e-06	-0.862189242478668
chr15	79749129	79749677	Merged-chr15-79749363-32	Gm16576	3.24711335621857e-06	-1.23961725299122
chr14	7888240	7890503	Merged-chr14-7889741-57		3.25650481343435e-06	-0.51248498881738
chr7	78918468	78919325	Merged-chr7-78918933-18	Isg20	3.25650481343435e-06	-1.20838186657884
chr9	75099890	75101343	Merged-chr9-75100558-54	Myo5a	3.33773477655071e-06	-0.816432562728549
chr9	72656632	72657390	Merged-chr9-72657095-21	Nedd4	3.40380378963706e-06	-1.22307704833542
chr4	134119859	134122484	Merged-chr4-134121119-30	Sh3bgrl3	3.4870333679258e-06	-0.706815568455975
chr11	115222907	115225413	Merged-chr11-115223936-63	Nat9	3.66570488395123e-06	-0.721139244239794
chr14	64444224	64444504	Merged-chr14-64444350-7	Msra	3.6919506688002e-06	-2.08484467563987
chr1	179787044	179788096	Merged-chr1-179787512-54	Ahctf1	3.76394267587705e-06	-0.831601852036077
chr19	41633782	41634885	Merged-chr19-41634206-42	Mir8091	3.78442318345534e-06	-1.2131842770861
chr11	57623899	57625147	Merged-chr11-57624662-27	Galnt10	3.87513516716687e-06	-1.00940163534595
chr5	114322940	114324288	Merged-chr5-114323632-56	Myo1h	3.95354915264471e-06	-0.844018585805771
chr3	100771110	100772094	Merged-chr3-100771670-40	Vtcn1	3.98904038197344e-06	-1.0105794323634
chr19	25310742	25311747	Merged-chr19-25311187-36	Kank1	4.0532890829553e-06	-1.20107111286271
chr17	34616417	34616652	Merged-chr17-34616534-1	Egfl8	4.11576564969415e-06	-2.31900214746978
chr16	73874774	73875829	Merged-chr16-73875241-52	Mir691	4.13616427384026e-06	-1.18130010839953
chr2	178664440	178666313	Merged-chr2-178665189-57	Cdh26	4.13874045447007e-06	-0.654308340344472
chr5	113790492	113791072	Merged-chr5-113790784-15	Tmem119	4.13874045447007e-06	-2.19462076394596
chr19	10222855	10223919	Merged-chr19-10223506-18	Tmem258	4.14711272842606e-06	-1.93690112961624
chr19	5097313	5099155	Merged-chr19-5098615-44	Cnih2	4.2600834184112e-06	-0.769994875997832
chr18	38289714	38290421	Merged-chr18-38290068-32	Pcdh12	4.48921709364916e-06	-1.49191764554301
chr7	100661327	100662279	Merged-chr7-100661554-29	Plekhb1	4.5073201139269e-06	-1.41120752223511
chr1	191268953	191270653	Merged-chr1-191269794-57	D730003I15Rik	4.59157857269938e-06	-0.750718113163948
chr7	122018174	122019395	Merged-chr7-122018486-43	Gga2	4.71202495988886e-06	-0.892803264285222
chr2	11738867	11740533	Merged-chr2-11739711-55	Il15ra	4.78267045340874e-06	-0.84791879008128
chr9	21133252	21133577	Merged-chr9-21133410-7	Tyk2	5.11093282911332e-06	-2.1612071766654
chr17	36133800	36136527	Merged-chr17-36135640-58	Gm7030	5.12275561902832e-06	-0.775516975075432
chr2	71551327	71552413	Merged-chr2-71551817-48	Dlx2	5.26916368024337e-06	-0.74743142473492
chr11	116647309	116647716	Merged-chr11-116647508-2	Cygb	5.28615054118442e-06	-2.13647058335753
chr5	34537935	34539414	Merged-chr5-34538474-43	Sh3bp2	5.3350235351463e-06	-0.75268238202011
chr17	56139512	56142386	Merged-chr17-56140977-86	Sema6b	5.37038318179492e-06	-0.622938674866895
chr16	37689120	37691423	Merged-chr16-37690085-59	Ndufb4	5.5580317278438e-06	-0.566015148170623
chr8	8988636	8988829	Merged-chr8-8988732-1	4933430N04Rik	5.56484501897561e-06	-1.37709317559713
chr9	119328488	119329245	Merged-chr9-119328842-51	Oxsr1	5.72509343602598e-06	-0.937534985595336
chr17	12754282	12756097	Merged-chr17-12754986-56	Airn	5.75685227242107e-06	-0.708124057219616
chr18	5784209	5785529	Merged-chr18-5784777-35	Zeb1	5.7851453127621e-06	-1.03786242740234
chr10	62306265	62307313	Merged-chr10-62306710-57	Hk1	5.81034111185446e-06	-0.710261517595745
chr15	86050691	86051612	Merged-chr15-86051260-39	Gramd4	5.81454750195168e-06	-1.45190786577345
chr15	99610939	99611498	Merged-chr15-99611235-19	Aqp6	5.84376332440287e-06	-1.29031296708733
chr15	99340872	99343245	Merged-chr15-99342038-82	Fmnl3	5.8535042262857e-06	-0.576871889304687
chr2	147302288	147302616	Merged-chr2-147302437-5	AI646519	5.96968860881571e-06	-1.52396448049121
chr18	16958509	16960221	Merged-chr18-16959158-44	1700001G01Rik	6.15433627612523e-06	-0.920855704734874
chr9	56893665	56894451	Merged-chr9-56894129-6	Cspg4	6.25337579805969e-06	-1.24028559047691
chr4	32564516	32565689	Merged-chr4-32565101-55	Bach2os	6.35532999997215e-06	-1.00734021658728
chr12	106026633	106027671	Merged-chr12-106027056-44	Vrk1	6.40690762827558e-06	-0.692905794214361
chr2	34979271	34980323	Merged-chr2-34979812-43	Traf1	6.5320953480811e-06	-0.880450811781644
chr6	113281585	113284051	Merged-chr6-113282586-59	Cpne9	6.60045768733832e-06	-0.706596945942145
chr8	84221931	84223755	Merged-chr8-84222849-57	Mir3074-2	6.72352802049211e-06	-0.618889997177799
chr10	80843054	80845124	Merged-chr10-80844162-56	Lingo3	6.83712614894906e-06	-0.621749135999868
chr2	102062226	102064271	Merged-chr2-102063231-43	Ldlrad3	7.07271289465032e-06	-0.754385252981796
chr15	78434228	78435263	Merged-chr15-78434945-34	Kctd17	7.07377533435689e-06	-1.17951911823815
chr9	122122024	122122633	Merged-chr9-122122373-29	Snrk	7.10142088425217e-06	-1.04972674868787
chr15	80457393	80458632	Merged-chr15-80458125-44	Gm31369	7.18598160906129e-06	-0.939263081822072
chr17	31788935	31791147	Merged-chr17-31789972-64	Sik1	7.29163727632911e-06	-0.68195560847747
chr8	39152880	39153181	Merged-chr8-39153033-8	Gm6213	7.30401593760358e-06	-2.54027307387538
chr3	10288408	10290352	Merged-chr3-10289136-59	Fabp12	7.4233885098058e-06	-0.797353760459395
chr5	135906774	135907615	Merged-chr5-135907129-34	Hspb1	7.73428524346544e-06	-1.03909237271264
chr15	78439808	78441874	Merged-chr15-78441209-45	Kctd17	7.78374587269193e-06	-1.05306988187631
chr16	38306582	38308668	Merged-chr16-38307662-53	Nr1i2	7.83817344475163e-06	-0.657708665166273
chr12	36045820	36046699	Merged-chr12-36046281-20	Tspan13	8.1570611861246e-06	-0.882075896587127
chr17	57223343	57223831	Merged-chr17-57223611-11	C3	8.17126889879114e-06	-1.98793792920986
chr2	92835923	92836873	Merged-chr2-92836477-30	Syt13	8.29221218407276e-06	-1.01450975739278
chr11	62761398	62762455	Merged-chr11-62762067-49	Zfp286	8.33288230615294e-06	-0.955777598557624
chr15	78753801	78755524	Merged-chr15-78754567-54	Mfng	8.3458333163242e-06	-0.905368995961053
chr13	43514576	43516537	Merged-chr13-43515280-58	Ranbp9	8.46280558207245e-06	-0.766287807386765
chr1	87257864	87259350	Merged-chr1-87258620-55	Efhd1	8.58577068725937e-06	-0.766022249765518
chr15	98505880	98506824	Merged-chr15-98506432-35	Olfr279	8.66930998059071e-06	-0.936368943022885
chr7	3295350	3296290	Merged-chr7-3295793-51	Myadm	8.69592445951367e-06	-0.709742097336977
chr2	58586625	58587020	Merged-chr2-58586846-3	Upp2	8.70620069912387e-06	-1.91297040128108
chr11	62752009	62752390	Merged-chr11-62752199-1	Zfp287	8.75396607658401e-06	-1.83168725433265
chr11	57954711	57955067	Merged-chr11-57954872-2	Larp1	8.92178225358074e-06	-1.91359934282956
chr15	31425810	31426910	Merged-chr15-31426353-50	Ropn1l	8.9789179058996e-06	-0.9855138213012
chr14	30014213	30015419	Merged-chr14-30014804-51	Chdh	9.12749612928802e-06	-1.090900718916
chr11	106957211	106958235	Merged-chr11-106957649-51	Smurf2	9.24421791436228e-06	-1.07521088529776
chr10	128778881	128780915	Merged-chr10-128779908-60	Mmp19	9.25957817285021e-06	-0.618158073019332
chr5	30523081	30525026	Merged-chr5-30524267-42	Cib4	9.31527083259711e-06	-1.02087327094613
chr4	135499754	135500397	Merged-chr4-135500028-23	Stpg1	9.31810455749513e-06	-1.52499670479597
chr7	142380957	142382233	Merged-chr7-142381463-52	Ctsd	9.38733587105596e-06	-0.818031337558143
chr14	7960686	7961199	Merged-chr14-7960896-14		9.5390839428834e-06	-1.12423301778816
chr9	44645145	44646747	Merged-chr9-44646153-57	Treh	9.59628755573301e-06	-0.639837726983448
chr3	116570545	116571387	Merged-chr3-116570834-40	Lrrc39	9.6422931846889e-06	-1.23624532004374
chr15	78368002	78369844	Merged-chr15-78368928-57	Tex33	9.66542677794979e-06	-0.639530405740183
chr2	28545735	28548431	Merged-chr2-28547427-78	Ralgds	9.66714948545999e-06	-0.767719612818581
chr7	141276326	141279848	Merged-chr7-141278671-68	Sct	9.83592906915044e-06	-0.625386017470302
chr5	115166122	115168312	Merged-chr5-115167391-57	Mlec	9.90006699711635e-06	-0.548362918010188
chr8	79058971	79060023	Merged-chr8-79059582-48	Zfp827	1.01517253610371e-05	-0.980954592661842
chr1	118724182	118724375	Merged-chr1-118724278-1	Tfcp2l1	1.01662395749083e-05	-2.50581894902193
chr17	27925308	27926304	Merged-chr17-27925809-31	Anks1	1.02282119069572e-05	-1.59171762863533
chr11	4744611	4748262	Merged-chr11-4746321-57	Cabp7	1.0244943210474e-05	-0.677914414772757
chr8	26744515	26744964	Merged-chr8-26744732-28	2310008N11Rik	1.02538144519341e-05	-1.63266290323282
chr12	8864232	8865475	Merged-chr12-8864959-57	Laptm4a	1.03199991168298e-05	-0.824453311021925
chr16	30744330	30744644	Merged-chr16-30744476-2	Fam43a	1.04529775416295e-05	-2.58583718532237
chr4	155216482	155217872	Merged-chr4-155217372-34	Ski	1.05684201056828e-05	-0.826280243268563
chr17	46828640	46830473	Merged-chr17-46829697-57	Bicral	1.07201369995353e-05	-0.588585100777793
chr13	52614520	52615933	Merged-chr13-52615126-56	Syk	1.08385367931465e-05	-0.852793057928937
chr1	85957318	85957849	Merged-chr1-85957621-22	Gpr55	1.08926754514622e-05	-1.78651683468736
chr2	91041917	91043861	Merged-chr2-91042887-57	Rapsn	1.09783891769479e-05	-0.671837240583864
chr17	26119903	26120785	Merged-chr17-26120370-49	Mrpl28	1.10797341931076e-05	-0.689468743682222
chr12	102290589	102291216	Merged-chr12-102290817-16	Rin3	1.12998703537368e-05	-1.65676783433145
chr17	13589847	13590778	Merged-chr17-13590379-37	2700054A10Rik	1.12998703537368e-05	-3.05239085736332
chr11	4749706	4751196	Merged-chr11-4750492-53	Cabp7	1.13088260837892e-05	-0.603283281126339
chr8	46789096	46790117	Merged-chr8-46789597-51	Irf2	1.136046702702e-05	-1.03353272047367
chr5	116496552	116497679	Merged-chr5-116497051-36	Srrm4os	1.14616847942318e-05	-0.849946706899722
chr15	27671256	27672492	Merged-chr15-27671919-55	Otulinl	1.14761489265206e-05	-1.09887405192559
chr11	32019777	32021194	Merged-chr11-32020474-57	Nsg2	1.15128508243634e-05	-0.59024248976191
chr5	35686517	35688022	Merged-chr5-35687216-52	Htra3	1.1533813404558e-05	-0.662512147288205
chr9	100457850	100459188	Merged-chr9-100458416-50	Il20rb	1.16666277889489e-05	-1.01875708435692
chr17	26380258	26382979	Merged-chr17-26381651-57	Neurl1b	1.16948114397078e-05	-0.495776367959273
chr9	63915418	63916417	Merged-chr9-63916071-54	Smad6	1.18441107215661e-05	-0.861435420070543
chr6	125279686	125280414	Merged-chr6-125280012-35	Tuba3a	1.18483243697343e-05	-1.3219054158016
chr8	22222877	22223880	Merged-chr8-22223213-13	Thsd1	1.19682720758969e-05	-1.15500005219085
chr12	83927617	83929950	Merged-chr12-83928827-95	Numb	1.21628166060396e-05	-0.602143352645576
chr4	129781651	129783207	Merged-chr4-129782424-57	Ptp4a2	1.24316548583353e-05	-0.558182980978404
chr3	65949541	65951494	Merged-chr3-65950489-53	Ccnl1	1.24717642316142e-05	-0.746972630140414
chr2	121596559	121597097	Merged-chr2-121596829-7	Wdr76	1.28098343806392e-05	-1.53455434017009
chr7	98867619	98869785	Merged-chr7-98869064-59	Wnt11	1.35240419109592e-05	-0.558241275830094
chr17	26833982	26834535	Merged-chr17-26834252-12	Nkx2-5	1.35664239865203e-05	-2.22108855552865
chr5	29159070	29159637	Merged-chr5-29159426-14	Rnf32	1.370159634702e-05	-1.73209029111176
chr12	16580164	16580371	Merged-chr12-16580267-1	Lpin1	1.41346191507675e-05	-2.78763538185201
chr4	62357604	62358207	Merged-chr4-62357915-29	Fkbp15	1.41376337696884e-05	-0.885456525762012
chr2	29418192	29420688	Merged-chr2-29419115-63	Med27	1.43971045713679e-05	-0.796157769012147
chr4	135139682	135142350	Merged-chr4-135141222-59	Runx3	1.45401429750702e-05	-0.569668788137175
chr5	34642805	34643756	Merged-chr5-34643160-51	Mfsd10	1.45726806116057e-05	-0.729468406708473
chr7	3442329	3443165	Merged-chr7-3442770-46	Cacng6	1.45819992287109e-05	-1.12473437260908
chr18	42714560	42715386	Merged-chr18-42714914-40	Gpr151	1.46343920208727e-05	-0.876394070933636
chr8	122263223	122264897	Merged-chr8-122264124-40	Zfpm1	1.46610167321547e-05	-0.764856402435549
chr8	120292992	120294658	Merged-chr8-120293826-52	A330074K22Rik	1.48035212763526e-05	-0.831676472144746
chr17	29365273	29365685	Merged-chr17-29365449-2	Fgd2	1.48661341043811e-05	-3.24201943806663
chr7	130857340	130859292	Merged-chr7-130858225-57	Plekha1	1.51830019167223e-05	-0.609647320421965
chr15	81917414	81919687	Merged-chr15-81917921-49	Polr3h	1.54733419293376e-05	-0.929030211251899
chr4	135128129	135130222	Merged-chr4-135129056-57	Runx3	1.57017270101462e-05	-0.476035656931965
chr5	37205368	37205843	Merged-chr5-37205562-6	Crmp1	1.58041125196712e-05	-1.58063109892334
chr12	118563979	118565049	Merged-chr12-118564599-41	D230030E09Rik	1.58672095153422e-05	-0.963954660100483
chr2	73053594	73056711	Merged-chr2-73055260-111	Sp3	1.58672095153422e-05	-0.49254213745898
chr14	67219144	67219484	Merged-chr14-67219304-2	Ebf2	1.61558800140996e-05	-2.5396342595701
chr1	135516215	135517761	Merged-chr1-135516942-57	Mir1231	1.62886705911821e-05	-0.650457592159148
chr2	167752794	167755526	Merged-chr2-167754042-57	A530013C23Rik	1.65151574543567e-05	-0.637093343030633
chr4	106934867	106935965	Merged-chr4-106935370-34	Ssbp3	1.66785924404071e-05	-1.04326643127043
chr12	76580583	76581516	Merged-chr12-76580924-42	AI463170	1.68756594194325e-05	-0.978709127445559
chr11	33274091	33275127	Merged-chr11-33274513-54	Tlx3	1.69338305209315e-05	-0.869254310385782
chr15	73522645	73523616	Merged-chr15-73523168-34	Dennd3	1.71660301463124e-05	-1.05262198266678
chr16	65469373	65471477	Merged-chr16-65470418-57	Pou1f1	1.72099978783171e-05	-0.611832072589649
chr2	104686975	104687616	Merged-chr2-104687359-28	Tcp11l1	1.7481364937432e-05	-2.1678668328637
chr8	120015996	120017121	Merged-chr8-120016591-41	Crispld2	1.76465169926007e-05	-0.84104211862144
chr11	95100530	95101477	Merged-chr11-95101094-11	Dlx3	1.76969681619567e-05	-1.02519412649855
chr5	35959904	35961880	Merged-chr5-35960783-51	Afap1	1.78184271875235e-05	-0.787937932220947
chr3	122920816	122921110	Merged-chr3-122920961-2	4933405D12Rik	1.78890325390472e-05	-2.09547456608373
chr13	40845812	40847113	Merged-chr13-40846354-43	Gcnt2	1.79242624795399e-05	-0.702120151056581
chr10	78264645	78266060	Merged-chr10-78265038-57	Trappc10	1.79344469445167e-05	-0.546081400387507
chr5	122109255	122110257	Merged-chr5-122109907-45	Myl2	1.81273399538466e-05	-0.896248435780606
chr19	47431678	47432984	Merged-chr19-47432538-57	Sh3pxd2a	1.81942321881355e-05	-0.744680894864487
chr10	95086103	95088804	Merged-chr10-95087476-87	Gm29684	1.82239416007786e-05	-0.477825043924211
chr3	88190930	88192960	Merged-chr3-88191837-58	1700113A16Rik	1.84015926478901e-05	-0.5517626011243
chr1	10456456	10456997	Merged-chr1-10456750-8	Arfgef1	1.86108942438856e-05	-1.90629677984351
chr7	67442291	67446271	Merged-chr7-67444535-99	Mef2a	1.87814665363903e-05	-0.50906700267896
chr9	44094056	44095571	Merged-chr9-44094610-57	Mfrp	1.88686875620652e-05	-0.698463044216397
chr6	39372185	39373563	Merged-chr6-39372911-57	Slc37a3	1.90356754525375e-05	-0.590318756247354
chr9	107371512	107372990	Merged-chr9-107372642-52	Cacna2d2	1.9312064287972e-05	-0.744431909304619
chr2	25615161	25616811	Merged-chr2-25616233-36	Ccdc183	1.93181721621567e-05	-1.26495690354876
chr4	147428966	147429207	Merged-chr4-147429086-1		1.93738197809816e-05	-1.55120529404237
chr8	106315619	106316930	Merged-chr8-106316168-51	Smpd3	1.93911230244005e-05	-0.857441262280152
chr17	45566210	45567604	Merged-chr17-45566860-8	Slc35b2	1.96498690518196e-05	-1.26346053882685
chr11	51817638	51818553	Merged-chr11-51818025-57	Jade2	2.00091739838396e-05	-0.542994720324696
chr7	19239237	19240785	Merged-chr7-19239635-57	Gm38499	2.03060594667218e-05	-0.526647207298886
chr4	132524279	132524671	Merged-chr4-132524475-1	Atpif1	2.04154751602473e-05	-1.63434399862742
chr11	51593658	51595742	Merged-chr11-51594950-50	Phykpl	2.0611318019137e-05	-1.09549088930846
chr17	42619559	42620322	Merged-chr17-42620067-29	Opn5	2.07586954142369e-05	-1.5692271970473
chr17	17402096	17402941	Merged-chr17-17402629-53	Lix1	2.09087712037445e-05	-0.81661224884471
chr8	25089235	25091531	Merged-chr8-25090823-57	Plekha2	2.10878549422163e-05	-0.789788343861645
chr3	149379707	149380933	Merged-chr3-149380202-57	Gm1653	2.11146436930454e-05	-0.704362816834645
chr11	104289109	104290911	Merged-chr11-104289734-57	Mapt	2.13263905447537e-05	-0.647494618991211
chr17	35027418	35027913	Merged-chr17-35027691-7	Sapcd1	2.1360361153522e-05	-1.62659245886287
chr17	87185497	87186438	Merged-chr17-87185963-23	C330024C12Rik	2.16532329223694e-05	-0.927123478376012
chr7	142340075	142342759	Merged-chr7-142341115-75	Ifitm10	2.17328390367549e-05	-0.6291711194585
chr10	78372375	78373883	Merged-chr10-78373069-57	Agpat3	2.17355893536032e-05	-0.51477249541973
chr19	40962566	40964374	Merged-chr19-40963257-57	Blnk	2.23252617136488e-05	-0.605608277596285
chr7	30697784	30698923	Merged-chr7-30698364-57	2200002J24Rik	2.23913274317391e-05	-0.796842784264103
chr2	173451788	173452871	Merged-chr2-173452188-56	1700021F07Rik	2.24847174997258e-05	-0.847281591474053
chr12	110376333	110376762	Merged-chr12-110376577-5	Ppp2r5c	2.25145090050424e-05	-1.62465117612006
chr6	148939993	148940703	Merged-chr6-148940526-10	Sinhcaf	2.25193211847753e-05	-1.27437516068566
chr7	45237948	45239653	Merged-chr7-45238951-56	Cd37	2.2533934432826e-05	-0.583298650668387
chr3	146421371	146422591	Merged-chr3-146421985-55	Ssx2ip	2.27775014872605e-05	-0.809165932949293
chr1	43070280	43071361	Merged-chr1-43070825-56	Tgfbrap1	2.28876888611213e-05	-0.941234447944618
chr11	106540004	106540805	Merged-chr11-106540408-21	Snord104	2.29744162151902e-05	-1.2824100615537
chr1	91343981	91347480	Merged-chr1-91346161-108	Klhl30	2.30585046644605e-05	-0.559199414597533
chr5	139160057	139162488	Merged-chr5-139161564-52	Prkar1b	2.30766567412707e-05	-0.627708463621624
chr15	78588696	78589787	Merged-chr15-78589187-40	Gm36738	2.30766969956731e-05	-0.97616192350901
chr5	3149762	3150358	Merged-chr5-3150050-14	Cdk6	2.3120720721302e-05	-1.41849002537194
chr13	63278041	63279624	Merged-chr13-63278917-57	Gm16907	2.32074172410497e-05	-0.524041957204621
chr2	132053322	132054782	Merged-chr2-132054013-56	Rassf2	2.40513185645597e-05	-0.897800625834798
chr11	94880666	94883829	Merged-chr11-94882031-62	Gm11544	2.40513185645597e-05	-0.534771597308824
chr1	192778503	192779655	Merged-chr1-192779051-42	Hhat	2.43912424638293e-05	-1.05391474270772
chr4	21711090	21712788	Merged-chr4-21712308-53	Ccnc	2.44615351511122e-05	-0.830025870657645
chr11	57725942	57728127	Merged-chr11-57727376-57	2010001A14Rik	2.46336130617537e-05	-0.530054175908485
chr13	45030087	45032784	Merged-chr13-45031471-57	Dtnbp1	2.53666544624233e-05	-0.472862671999601
chr16	17831724	17832245	Merged-chr16-17831974-16	B830017H08Rik	2.55845676369868e-05	-0.971272139813862
chr5	100871793	100872931	Merged-chr5-100872218-57	Gpat3	2.57688858239091e-05	-0.666247935648716
chr9	123058165	123059706	Merged-chr9-123058841-57	Tgm4	2.58080316219963e-05	-0.849333063684599
chr5	30342231	30344335	Merged-chr5-30343389-56	Drc1	2.60346030921487e-05	-0.640341081936341
chr7	99042951	99044162	Merged-chr7-99043499-49	Uvrag	2.62165920941562e-05	-1.06326323235107
chr9	44453447	44455030	Merged-chr9-44454146-57	Upk2	2.63749917298314e-05	-0.497843894434968
chr4	102655382	102657758	Merged-chr4-102656939-59	Pde4b	2.63894221853091e-05	-0.620056041984344
chr2	156472589	156473341	Merged-chr2-156472970-14	Epb41l1	2.64215375249936e-05	-1.02957608543433
chr17	87378483	87380282	Merged-chr17-87379693-49	Stpg4	2.6867213799241e-05	-0.686522632934635
chr12	112854790	112855545	Merged-chr12-112855141-29	Gpr132	2.75859802635011e-05	-0.911542447520404
chr2	174658048	174659040	Merged-chr2-174658521-53	Zfp831	2.79211295229887e-05	-0.9147750582156
chr18	32311197	32312556	Merged-chr18-32311952-57	Bin1	2.85280656557797e-05	-0.845972437232665
chr4	131266934	131267669	Merged-chr4-131267255-11	A930031H19Rik	2.85358161164139e-05	-1.24182604601296
chr4	152211924	152214714	Merged-chr4-152213646-93	Acot7	2.92909826154665e-05	-0.578854105295294
chr1	136256805	136257892	Merged-chr1-136257270-6	Gpr25	3.01445215559486e-05	-0.973834853044925
chr8	3656523	3657549	Merged-chr8-3657140-34	Retn	3.03623515777494e-05	-1.02808566387932
chr11	79045015	79046346	Merged-chr11-79045469-45	Ksr1	3.06622113009183e-05	-0.816064231206928
chr9	55387706	55388678	Merged-chr9-55388222-40	Tmem266	3.0836740544884e-05	-1.21044533838121
chr1	89522278	89523478	Merged-chr1-89523149-8	Agap1	3.09083782279247e-05	-0.946193511402291
chr18	56427587	56428110	Merged-chr18-56427890-14	Gramd3	3.09476814316318e-05	-1.52022949074652
chr12	76552038	76554303	Merged-chr12-76552762-58	AI463170	3.11761450739999e-05	-0.55976345890717
chr7	67984611	67986210	Merged-chr7-67985339-57	Igf1r	3.14903358774299e-05	-0.56282019335062
chr1	89232540	89232921	Merged-chr1-89232695-10	Sh3bp4	3.1689903987381e-05	-1.30388430646074
chr7	127285282	127285699	Merged-chr7-127285440-20	Itgal	3.18052452584776e-05	-1.1187843000311
chr17	86903376	86904855	Merged-chr17-86904053-41	Tmem247	3.2100110098098e-05	-0.892885139484351
chr11	96742087	96743677	Merged-chr11-96743187-26	Snx11	3.2100110098098e-05	-0.922654638768739
chr5	45529813	45530042	Merged-chr5-45529939-2	Med28	3.21037370760078e-05	-1.97927505315839
chr17	78938896	78939399	Merged-chr17-78939154-13	Ndufaf7	3.21948301183759e-05	-1.41760676980926
chr1	80659327	80660722	Merged-chr1-80659927-52	Dock10	3.22226676754383e-05	-0.712170454035022
chr10	68433685	68434840	Merged-chr10-68434307-49	Cabcoco1	3.23239691624102e-05	-1.14097829011816
chr9	63988767	63990546	Merged-chr9-63989518-56	Smad6	3.26448804006641e-05	-0.690695950779639
chr18	36529507	36531243	Merged-chr18-36530127-57	Slc4a9	3.27021749196855e-05	-0.614760313060229
chr4	123995610	123996257	Merged-chr4-123995938-45	Rragc	3.27240257206737e-05	-0.893606657749004
chr1	119484374	119485253	Merged-chr1-119484710-29	Ralb	3.2725036626384e-05	-0.929107986594584
chr6	89242136	89242907	Merged-chr6-89242489-17	Gm839	3.29402355082294e-05	-1.31142240767499
chr4	43611466	43613804	Merged-chr4-43613001-58	Npr2	3.29879174730559e-05	-0.608205222510345
chr8	121070928	121071880	Merged-chr8-121071527-19	Fendrr	3.3073953048851e-05	-1.15002024475812
chr6	91392173	91393648	Merged-chr6-91392839-49	Wnt7a	3.31035803560058e-05	-1.01718085922731
chrX	101343655	101343991	Merged-chrX-101343810-5	Gjb1	3.31973460520829e-05	-1.86205859624994
chr2	38459555	38461686	Merged-chr2-38460692-46	Nek6	3.32105063506838e-05	-0.570043874212621
chr15	78996461	78997114	Merged-chr15-78996799-28	Mir6956	3.38721786138823e-05	-1.33854614593681
chr7	133856291	133857405	Merged-chr7-133856660-50	Dhx32	3.41368325174522e-05	-0.60977500409335
chr13	45140193	45141383	Merged-chr13-45140913-40	Dtnbp1	3.41840269935894e-05	-0.712796903666232
chr2	69556376	69557265	Merged-chr2-69556899-49	Lrp2	3.43390058904366e-05	-1.07775183794786
chr3	122393658	122394472	Merged-chr3-122394066-36	Bcar3	3.44652964565206e-05	-1.07577404728922
chr13	107124079	107124626	Merged-chr13-107124363-31	3830408C21Rik	3.48034035939562e-05	-1.50911454068185
chr9	106420624	106422256	Merged-chr9-106421640-57	Rpl29	3.49989060378533e-05	-0.528309677730199
chr4	133237948	133238412	Merged-chr4-133238141-28	Map3k6	3.57441081490007e-05	-0.727147716738624
chr2	168291859	168293748	Merged-chr2-168292575-56	Kcng1	3.61195367861199e-05	-0.76970367980378
chr8	27115344	27116073	Merged-chr8-27115775-23	Brf2	3.63746744763785e-05	-1.14249059004805
