Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Old_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Old_CD49bpos
chr14	27621656	27624055	Merged-chr14-27622707-47	Erc2	0.025294479057645	0.430688593112834
chr17	35820924	35823876	Merged-chr17-35822438-78	Ier3	0.025294479057645	0.209436817873715
chr11	108266890	108268781	Merged-chr11-108267674-13	Prkca	0.0254150544333673	0.79763228606431
chr13	98960545	98961703	Merged-chr13-98961058-30	1700024P04Rik	0.0255536685608631	0.573739190959861
chr5	113206661	113208629	Merged-chr5-113207308-39	Tmem211	0.0255973612324908	0.388928251317242
chr15	89139742	89141848	Merged-chr15-89140583-56	Mapk12	0.0256883547383423	0.304872756150296
chr5	66799893	66802769	Merged-chr5-66801368-68	Limch1	0.0259705202163275	0.43980544836545
chr13	37108625	37112230	Merged-chr13-37110344-50	F13a1	0.0263282102562639	0.388132626747829
chr4	132801973	132803373	Merged-chr4-132802399-54	Themis2	0.0263488714176186	0.47406332168853
chr11	97186780	97189019	Merged-chr11-97187876-58	Kpnb1	0.0263735354557432	0.282798113685579
chr4	148163938	148165206	Merged-chr4-148164389-57	Fbxo2	0.0266039664410171	0.358756823248239
chr14	59972915	59973948	Merged-chr14-59973462-24	Atp8a2	0.0266350862325775	0.658992187294097
chr17	94726573	94728471	Merged-chr17-94727800-50	Mettl4	0.0268475637391883	0.493030603462205
chr2	93902675	93904199	Merged-chr2-93903474-45	Accsl	0.0270133485571134	0.44241279046356
chr1	16308971	16310147	Merged-chr1-16309434-29	Rdh10	0.0273742147691407	0.730776247558723
chr4	132074206	132077776	Merged-chr4-132075864-89	Epb41	0.0273742147691407	0.171265497915409
chr11	36384338	36384927	Merged-chr11-36384678-7	Wwc1	0.0275702300469991	1.53862993622821
chr2	25982130	25984162	Merged-chr2-25983297-57	Camsap1	0.0276399042738584	0.273648153750219
chr4	47374456	47375284	Merged-chr4-47374806-17	Tgfbr1	0.0278443331086953	0.776225968898341
chr8	70211702	70213349	Merged-chr8-70212508-57	Slc25a42	0.0279228354481703	0.241522043335765
chr10	108330773	108333890	Merged-chr10-108332490-58	Pawr	0.0285382973468436	0.288203246188566
chr2	85050570	85051555	Merged-chr2-85051183-7	Tnks1bp1	0.0285458930182571	0.504175594744532
chr14	36288748	36289559	Merged-chr14-36289099-25	4930474N05Rik	0.0285458930182571	0.705389562313727
chr15	60839849	60841100	Merged-chr15-60840338-36	Lratd2	0.0288325792498498	0.483042665533195
chr3	61215658	61217192	Merged-chr3-61216586-34	Rap2b	0.0288325792498498	0.742464600988441
chr4	3936643	3939773	Merged-chr4-3938634-60	Plag1	0.0288699665447193	0.260914422563318
chr17	50418966	50420154	Merged-chr17-50419584-14	Plcl2	0.0288699665447193	0.644399294881617
chr19	23133939	23136488	Merged-chr19-23135216-57	Klf9	0.0288699665447193	0.252980226170195
chr2	4168649	4170578	Merged-chr2-4169571-29	Frmd4a	0.0290341847350015	0.601183127250606
chr19	61021248	61022715	Merged-chr19-61021947-30	Zfp950	0.0293144971141942	0.500696779023025
chr7	142094247	142096573	Merged-chr7-142095266-57	Dusp8	0.0293563181641928	0.331692592705158
chr2	26583322	26584398	Merged-chr2-26583937-17	Egfl7	0.0293941589672691	0.467882131151385
chr5	33827988	33828783	Merged-chr5-33828367-44	Nsd2	0.0297834180148536	0.42292829164804
chr2	120102656	120103555	Merged-chr2-120103110-28	Sptbn5	0.0297915797812943	0.569293646445994
chr3	99048704	99049559	Merged-chr3-99049156-11	Gm12440	0.0297915797812943	0.719486725180407
chr11	53762608	53764708	Merged-chr11-53763611-57	Mir7671	0.0297915797812943	0.249742581062332
chr1	106316351	106317846	Merged-chr1-106317085-57	Phlpp1	0.0298294429946627	0.44536734233682
chr11	74837439	74839426	Merged-chr11-74838424-57	Mnt	0.0299824382824275	0.258550669345561
chr7	125580495	125582015	Merged-chr7-125581381-56	Il21r	0.0299824382824275	0.315136885292441
chr5	74092491	74093928	Merged-chr5-74093127-57	Dancr	0.0299824382824275	0.264387858320548
chr4	118488486	118490911	Merged-chr4-118489927-51	Tie1	0.0299824382824275	0.402434859327455
chr9	44903692	44906690	Merged-chr9-44905209-69	Atp5l	0.0306165531828958	0.281710931369201
chr17	37044495	37047042	Merged-chr17-37045776-62	Gabbr1	0.0306247653973126	0.238549595312275
chr2	124616251	124618007	Merged-chr2-124617059-31	Sema6d	0.0308167754713613	0.42736883504265
chr17	23615912	23618015	Merged-chr17-23617125-56	Zscan10	0.0309541599096334	0.361558132213828
chr2	170828910	170829639	Merged-chr2-170829270-22	Dok5	0.0309836879058109	0.714263272713679
chr7	112237765	112239449	Merged-chr7-112238554-54	Mical2	0.031129807159728	0.398482620275914
chr11	32541370	32543607	Merged-chr11-32542825-58	Stk10	0.0312639845244988	0.336257831284849
chr11	49754837	49756444	Merged-chr11-49755642-52	Gfpt2	0.0312939035526955	0.419323803962326
chr4	106560295	106562663	Merged-chr4-106561209-57	Dhcr24	0.0314752691061263	0.276808198835808
chr17	17837393	17839122	Merged-chr17-17838270-57	Spaca6	0.0314825477406197	0.279111974649349
chr1	131525871	131528406	Merged-chr1-131527378-57	Srgap2	0.0319633836188404	0.22217128041846
chr5	24360563	24361586	Merged-chr5-24361084-56	Nos3	0.0322697822231462	0.412294106207915
chr16	28051395	28052623	Merged-chr16-28051974-9	Gm10823	0.0324408507600514	0.944835973484841
chr15	61438453	61440529	Merged-chr15-61439372-22	D030024E09Rik	0.0324408507600514	0.614605582250873
chr2	132612996	132614320	Merged-chr2-132613763-40	AU019990	0.0325533919350114	0.464412264062374
chr2	152167076	152168833	Merged-chr2-152168006-46	Tcf15	0.0325533919350114	0.516925708300252
chr7	25376416	25377530	Merged-chr7-25376811-39	4732471J01Rik	0.0326053467118408	0.364778002188921
chr19	45734288	45735178	Merged-chr19-45734729-23	4933429K18Rik	0.0327573086401268	0.496744256387048
chr16	78375085	78377526	Merged-chr16-78376369-57	Gm7334	0.0327573086401268	0.285212866332276
chr8	23165907	23168242	Merged-chr8-23167178-56	Nkx6-3	0.0327590374702238	0.23420588802542
chr11	86961874	86962749	Merged-chr11-86962307-16	Ypel2	0.0328075351746501	0.52839946254315
chr11	11684532	11687106	Merged-chr11-11685829-57	Ikzf1	0.0328999426307597	0.226056873597192
chr5	66777773	66778957	Merged-chr5-66778417-24	Limch1	0.0330380910354235	0.786120320520974
chr2	44628510	44629490	Merged-chr2-44628985-19	Gtdc1	0.0330471755963619	0.693427039883191
chr2	163994274	163995983	Merged-chr2-163995232-57	Ywhab	0.0330591339886147	0.278548985131376
chr2	30676259	30678759	Merged-chr2-30677230-56	Gm14486	0.0330591339886147	0.337153022222974
chr13	34766311	34767230	Merged-chr13-34766657-11	Fam50b	0.0330591339886147	0.880215010308783
chr17	15137061	15138636	Merged-chr17-15137798-57	Ermard	0.0331796019337695	0.369693480231674
chr5	105138147	105140997	Merged-chr5-105139553-49	Gbp4	0.0332077312315127	0.366574715348826
chr7	76391575	76393669	Merged-chr7-76392908-57	Agbl1	0.0332327101749719	0.410177078034922
chr7	67923861	67925145	Merged-chr7-67924465-46	Igf1r	0.0332371463416715	0.506236343746872
chr7	29210620	29212612	Merged-chr7-29211659-57	Catsperg1	0.0333505973048607	0.277417900888961
chr6	125164343	125167504	Merged-chr6-125165826-58	Gapdh	0.0334526346524644	0.19184598519857
chr3	41195056	41195991	Merged-chr3-41195539-12	Pgrmc2	0.0334526346524644	0.85538103324648
chr3	145470806	145471938	Merged-chr3-145471400-10	Znhit6	0.0336695040436211	0.803139660281547
chr10	77206300	77207330	Merged-chr10-77206818-50	Col18a1	0.0337749447627412	0.541048058788367
chr5	134312676	134316073	Merged-chr5-134314296-57	Gtf2i	0.0338499157805028	0.203341378487433
chr13	33934885	33936956	Merged-chr13-33935856-46	1110046J04Rik	0.0341133619628652	0.42199954169655
chr7	15948238	15949743	Merged-chr7-15948908-55	Nop53	0.0341133619628652	0.328645563852076
chr13	98691774	98693907	Merged-chr13-98692992-53	Tmem171	0.0341327893877013	0.463536543628447
chr7	114414394	114417702	Merged-chr7-114415700-57	Pde3b	0.0342093591087405	0.242373747214518
chr7	112953418	112956135	Merged-chr7-112954665-59	Rassf10	0.034363283576682	0.344037940254806
chr15	74967587	74968844	Merged-chr15-74968307-57	Ly6e	0.034363283576682	0.348190540714231
chr14	64006199	64007123	Merged-chr14-64006614-30	Rp1l1	0.0345775828698169	0.478487294208419
chr9	107971403	107972600	Merged-chr9-107972004-31	Uba7	0.0347405276778681	0.331665103389744
chr5	50057667	50059907	Merged-chr5-50058707-57	Adgra3	0.0347405276778681	0.279373071069108
chr15	67413908	67416110	Merged-chr15-67414690-57	1700012I11Rik	0.0348694557576648	0.440625815827168
chr7	34131056	34134374	Merged-chr7-34132723-54	Wtip	0.0349892798649033	0.26145836755962
chr4	141425065	141426749	Merged-chr4-141425867-57	Hspb7	0.0351696773526218	0.417719966494268
chr4	62604141	62604861	Merged-chr4-62604424-6	Rgs3	0.0351696773526218	0.834370111972253
chr10	68191699	68193709	Merged-chr10-68192598-57	Arid5b	0.035185873125159	0.298566695274156
chr13	91459705	91463374	Merged-chr13-91461447-63	Ssbp2	0.0353316075960796	0.234753392993812
chr14	37606429	37607750	Merged-chr14-37607134-25	Ghitm	0.0353956488234952	0.692910487656175
chr7	81570795	81573141	Merged-chr7-81571676-57	Whamm	0.0354630291603046	0.223591911353759
chr11	96765031	96766379	Merged-chr11-96765750-57	Snx11	0.0354630291603046	0.29288418182999
chr3	90513806	90515708	Merged-chr3-90514707-57	S100a13	0.0354630291603046	0.27618261322645
chr15	36687694	36689005	Merged-chr15-36688428-52	Pabpc1	0.0354630291603046	0.466732983640027
chr13	81107391	81110497	Merged-chr13-81109031-56	9330111N05Rik	0.0360458974967025	0.408354935126238
chr18	24019620	24021882	Merged-chr18-24020719-57	Zfp24	0.0360458974967025	0.270661842184091
chr4	102533281	102534707	Merged-chr4-102534165-57	Pde4b	0.0360955675848834	0.405350339871987
chr5	108336164	108338292	Merged-chr5-108337453-31	9330198I05Rik	0.0360955675848834	0.425867097679088
chr14	25377634	25379366	Merged-chr14-25378535-57	Zmiz1	0.0361269112282165	0.2767460977973
chr11	96317721	96320515	Merged-chr11-96319182-71	Hoxb4	0.0363246698559921	0.258293461642038
chr9	103363881	103367080	Merged-chr9-103365269-57	Cdv3	0.0363442624441556	0.232282690380987
chr8	84985068	84986598	Merged-chr8-84985940-57	Hook2	0.0364383438143782	0.277974399407811
chr4	134237478	134239626	Merged-chr4-134238493-48	Cnksr1	0.0365395691031442	0.430395800527353
chr8	123040187	123043501	Merged-chr8-123042001-60	Ankrd11	0.0366536198622057	0.222079340530089
chr11	72951586	72954534	Merged-chr11-72953380-84	Atp2a3	0.036764344333482	0.313098948688183
chr9	107295606	107297509	Merged-chr9-107296633-57	Cish	0.036764344333482	0.224874689880936
chr2	148598546	148600278	Merged-chr2-148599557-57	Nxt1	0.0368594875634183	0.403348194406858
chr2	156813780	156815152	Merged-chr2-156814558-47	Tgif2	0.0368594875634183	0.389858375465318
chr16	34468318	34470495	Merged-chr16-34469482-43	Kalrn	0.0369045835197814	0.372102403903889
chr4	110350543	110352371	Merged-chr4-110351600-51	Elavl4	0.0369239678679738	0.337864693127248
chr11	75570772	75573794	Merged-chr11-75572326-91	Pitpna	0.036946891021215	0.209019263751079
chr3	86424956	86426945	Merged-chr3-86425555-33	Mab21l2	0.037205029410601	0.427192090513252
chr5	116311890	116313551	Merged-chr5-116312613-31	B230112J18Rik	0.0378522083382195	0.491177633293409
chr6	50120506	50121895	Merged-chr6-50121118-31	Mpp6	0.037951913434249	0.372423580900103
chr1	94052498	94054686	Merged-chr1-94053659-55	Pdcd1	0.037951913434249	0.389824867558509
chr7	114562198	114563735	Merged-chr7-114562921-57	Cyp2r1	0.037951913434249	0.28089917378714
chr1	15890917	15893651	Merged-chr1-15892630-56	Sbspon	0.037951913434249	0.306707226224876
chr19	24007097	24008472	Merged-chr19-24007804-23	Fam189a2	0.037951913434249	0.571990071017146
chr10	76798424	76799979	Merged-chr10-76799135-57	Pcbp3	0.0379562916304621	0.33059930579042
chr6	42295375	42296198	Merged-chr6-42295818-20	Clcn1	0.0379562916304621	0.557617344604671
chr8	68006577	68008886	Merged-chr8-68007852-25	Psd3	0.0380271776453469	0.451001220275857
chr1	170254775	170256120	Merged-chr1-170255512-57	Gm6345	0.0381479875969975	0.40365805387967
chr13	113514401	113516640	Merged-chr13-113515515-57	4921509O07Rik	0.0383041426351098	0.4023506452812
chr5	135282680	135283885	Merged-chr5-135283314-30	Fzd9	0.0383041426351098	0.600685403873962
chr13	112750973	112752956	Merged-chr13-112752011-57	Plpp1	0.0388429058858847	0.419541950200194
chr5	75876769	75878244	Merged-chr5-75877469-49	Kdr	0.0392486926131671	0.689080347856463
chr2	9717962	9718367	Merged-chr2-9718177-5	Gata3	0.039415397005783	1.01963068316145
chr9	71512187	71513828	Merged-chr9-71513100-38	Polr2m	0.0394891410641462	0.506136594725355
chr9	56936920	56938993	Merged-chr9-56937814-57	Imp3	0.0394891410641462	0.257369739062614
chr15	99817906	99820454	Merged-chr15-99819484-55	Lima1	0.0397751209756857	0.321683389177454
chr13	42048858	42050104	Merged-chr13-42049453-48	Hivep1	0.0398291957077488	0.326077188417107
chr9	116292944	116295007	Merged-chr9-116293896-46	Gm4668	0.0398291957077488	0.549051659339227
chr5	37040545	37042413	Merged-chr5-37041293-55	Jakmip1	0.0399481767920195	0.340274954839414
chrX	12096611	12096974	Merged-chrX-12096806-2	Bcor	0.0400041322950536	1.51228894332404
chr3	52954456	52956773	Merged-chr3-52955579-53	Gm20750	0.0400279746021345	0.295257414824261
chr5	110107103	110108704	Merged-chr5-110107951-57	Gtpbp6	0.0403945538858343	0.280558316915356
chr9	58940995	58942786	Merged-chr9-58941982-33	Neo1	0.0403945538858343	0.410716516492218
chr11	55022506	55023888	Merged-chr11-55023190-57	Anxa6	0.0408284433842878	0.292263237701439
chr13	101623964	101627706	Merged-chr13-101625643-75	Pik3r1	0.0408284433842878	0.291498709452646
chr4	87822301	87824659	Merged-chr4-87823470-48	Mllt3	0.0408654258366339	0.258739258700372
chr8	85373268	85374514	Merged-chr8-85373844-51	Mylk3	0.0409736186380379	0.577163890457812
chr5	110703751	110705007	Merged-chr5-110704357-45	Mir7026	0.0416385162116076	0.319403617428699
chr19	61225431	61228741	Merged-chr19-61226964-58	Csf2ra	0.041734344417915	0.259079677145661
chr16	58703171	58705600	Merged-chr16-58704135-55	Gpr15	0.041734344417915	0.413564939483061
chr5	127536987	127538138	Merged-chr5-127537577-11	Slc15a4	0.0418930217938155	0.541734377281841
chr3	89646731	89648015	Merged-chr3-89647426-32	Adar	0.0418930217938155	0.54233416279606
chr17	66459382	66460110	Merged-chr17-66459752-9	Mtcl1	0.0419289774035575	0.762577342743748
chr2	144186594	144188665	Merged-chr2-144187989-58	Gm5535	0.0420124043810766	0.444154762396935
chr4	126131355	126132713	Merged-chr4-126132025-57	Eva1b	0.0420124043810766	0.375984335351692
chr2	93791227	93792649	Merged-chr2-93791969-47	Ext2	0.0420273139556198	0.294631784093247
chr15	102520475	102520842	Merged-chr15-102520691-3	Tarbp2	0.0430357074924382	0.55020459046346
chr9	72488368	72488843	Merged-chr9-72488612-3	Tex9	0.0431665418933578	0.826857320706992
chr13	102669312	102670351	Merged-chr13-102669886-29	Cd180	0.0432330757892899	0.389003605323677
chr9	65847759	65850610	Merged-chr9-65849040-87	Zfp609	0.0432734211052262	0.419728664533902
chr2	168025750	168027567	Merged-chr2-168026871-39	Ripor3	0.0432734211052262	0.492989644238652
chr13	107050571	107051946	Merged-chr13-107051471-29	3830408C21Rik	0.0437399009810831	0.588641706492612
chr17	83916303	83917329	Merged-chr17-83916890-37	C430042M11Rik	0.0437399009810831	0.39590015113099
chr18	31237231	31238349	Merged-chr18-31237695-8	Rit2	0.0437683716900881	0.940070946860485
chr11	97302040	97303038	Merged-chr11-97302532-12	Mrpl45	0.0437845452252785	0.94604460096149
chr4	130778748	130779893	Merged-chr4-130779254-29	Sdc3	0.0437921832696761	0.545014622337179
chr8	47673214	47676112	Merged-chr8-47674694-60	Ing2	0.0438576828155257	0.242967988728703
chr7	132493547	132495484	Merged-chr7-132494307-45	Oat	0.044260773391157	0.40805196866764
chr11	104595446	104599895	Merged-chr11-104597304-63	Itgb3	0.0442787298095733	0.331288433802575
chr9	50323965	50325408	Merged-chr9-50324605-45	2310003N18Rik	0.0443329330683745	0.509300689386401
chr8	84065786	84067628	Merged-chr8-84066814-57	Rfx1	0.0443642029808804	0.242619167273521
chr13	107644862	107646805	Merged-chr13-107645899-58	1700006H21Rik	0.0445451263497166	0.411842758665561
chr3	104523219	104524575	Merged-chr3-104523925-29	Lrig2	0.0445451263497166	0.664455486111691
chr2	145785083	145787519	Merged-chr2-145786361-57	Rin2	0.0446347109462326	0.320121053725326
chr6	29210468	29212652	Merged-chr6-29211941-63	Impdh1	0.0448287235241583	0.255722362596831
chr1	37122179	37124188	Merged-chr1-37123172-23	Vwa3b	0.0448882297593568	0.570220831278467
chr12	84301530	84302305	Merged-chr12-84301917-12	Zfp410	0.0450606636152992	1.22519354609362
chr12	112916721	112918671	Merged-chr12-112917811-57	Mir6941	0.0454106756421967	0.331623477177252
chr19	24671092	24673067	Merged-chr19-24671924-45	Tmem252	0.045552312472842	0.382402755401277
chr15	28335274	28336332	Merged-chr15-28335821-20	Dnah5	0.0457625162290047	0.710225309182023
chr16	87127604	87129565	Merged-chr16-87128370-45	Gm32865	0.0459144837226763	0.515375344311157
chr18	4352332	4355162	Merged-chr18-4353868-74	4833419F23Rik	0.045940996835764	0.229578207345018
chr5	143516639	143518799	Merged-chr5-143518140-58	Rac1	0.0459828048878302	0.364036097416715
chr5	64883251	64885327	Merged-chr5-64884220-57	Tlr1	0.0459872109865086	0.320332020276899
chr5	4594603	4595558	Merged-chr5-4595037-18	Fzd1	0.0459912329034581	0.91152072825701
chr7	111179273	111180685	Merged-chr7-111179797-39	1700012D14Rik	0.0459912329034581	0.378562131700385
chr2	102743895	102746132	Merged-chr2-102745090-72	Gm13872	0.0459912329034581	0.328553116305674
chr2	17936252	17937488	Merged-chr2-17936743-57	H2al2a	0.0459912329034581	0.432124737471202
chr2	178055735	178056562	Merged-chr2-178056075-21	Zfp931	0.0459912329034581	0.709534382744614
chr2	25533706	25535076	Merged-chr2-25534369-34	Traf2	0.0461050789508391	0.450041513213335
chr4	156025549	156026976	Merged-chr4-156026232-57	Tnfrsf18	0.0461050789508391	0.307189694248032
chr2	84632734	84636141	Merged-chr2-84634795-70	Ctnnd1	0.0461050789508391	0.340742354210684
chr2	137190492	137192889	Merged-chr2-137191786-36	Jag1	0.0462566734757635	0.507027905095784
chr9	70047819	70050623	Merged-chr9-70049820-53	Gcnt3	0.0462566734757635	0.385911436202467
chr16	13940203	13942105	Merged-chr16-13940859-52	Mpv17l	0.0462661843077394	0.477543966972416
chr17	27554842	27558279	Merged-chr17-27556369-57	Hmga1	0.0463968220266131	0.213267889867541
chr3	122942300	122944112	Merged-chr3-122943226-32	1810037I17Rik	0.0464243491886554	0.497002768946235
chr13	95630570	95631011	Merged-chr13-95630803-6	F2r	0.0464581191681863	1.26906622973513
chr1	16304731	16306489	Merged-chr1-16305675-28	Rdh10	0.046643644758116	0.466094381713415
chr4	141993254	141994997	Merged-chr4-141994198-52	Fhad1os1	0.0470033467346404	0.368946513605665
chr16	28595966	28598508	Merged-chr16-28597444-36	Mir690	0.047227953527238	0.427102070098306
chr18	36348037	36349699	Merged-chr18-36348763-57	Cystm1	0.0474923180104308	0.274976542553595
chr2	3668560	3669881	Merged-chr2-3669038-57	Fam107b	0.0476203301028268	0.407055173946661
chr5	64676146	64677812	Merged-chr5-64676991-57	Gm3716	0.0480945978052374	0.374514899114676
chr12	77111765	77113116	Merged-chr12-77112270-24	Fut8	0.0481161137182608	0.587215961472432
chr17	87171987	87172481	Merged-chr17-87172246-4	C330024C12Rik	0.0481161137182608	0.912344921020965
chr10	89771088	89772644	Merged-chr10-89772025-56	Uhrf1bp1l	0.0481161137182608	0.465747471348892
chr15	101452576	101454282	Merged-chr15-101453442-56	Krt88	0.0483491970204432	0.354350413135605
chr7	3292846	3293292	Merged-chr7-3293036-51	Myadm	0.0486853902148079	0.430914069196168
chr4	43585984	43588791	Merged-chr4-43587674-66	Msmp	0.0486853902148079	0.292826093916646
chr8	46600677	46601795	Merged-chr8-46601215-40	Primpol	0.0486853902148079	0.350655074769328
chr17	30611490	30612992	Merged-chr17-30612310-57	Glo1	0.0486853902148079	0.269350367026165
chr11	98750270	98751747	Merged-chr11-98750900-46	Thra	0.0486853902148079	0.278712533375195
chr2	54197768	54199267	Merged-chr2-54198545-27	Rprm	0.0486853902148079	0.398501064457643
chr15	101260999	101263083	Merged-chr15-101262290-74	Nr4a1	0.0488380630870243	0.289780367128903
chr7	25278137	25280575	Merged-chr7-25279278-58	Cic	0.0488682532963334	0.288335000613446
chr16	24628801	24630413	Merged-chr16-24629541-57	Lpp	0.0491377033937532	0.357787975249543
chr15	59830851	59832026	Merged-chr15-59831474-56	Gm19510	0.0492621966097958	0.510719953275593
chr2	164407520	164408723	Merged-chr2-164408056-55	Matn4	0.0492621966097958	0.320365834176458
chr14	100283366	100287132	Merged-chr14-100285574-58	Klf12	0.0492621966097958	0.215928514391242
chr19	47485856	47486614	Merged-chr19-47486261-32	Sh3pxd2a	0.0492844405922192	0.608909781026049
chr4	86873418	86875879	Merged-chr4-86874520-57	Acer2	0.0493352189217709	0.255130118682762
chr3	59113475	59114863	Merged-chr3-59114199-57	Gpr171	0.0493352189217709	0.331931732760262
chr19	46598557	46600621	Merged-chr19-46599274-57	Wbp1l	0.0493371987427555	0.220204860958004
chr7	46837922	46840755	Merged-chr7-46839074-65	Ldha	0.0493371987427555	0.283485930818969
chr12	108912350	108915481	Merged-chr12-108914503-66	Wdr25	0.0495256242333447	0.295001255352473
chr15	25403267	25404673	Merged-chr15-25404057-55	Basp1	0.0495256242333447	0.426572575007788
chr14	55884286	55886553	Merged-chr14-55885488-57	Khnyn	0.0495256242333447	0.199861065340749
chr4	86898738	86899992	Merged-chr4-86899234-43	Acer2	0.0495591145722607	0.39661103165825
chr6	142506950	142509202	Merged-chr6-142507882-57	Ldhb	0.0497546564176244	0.250699812977619
chr1	54858330	54859982	Merged-chr1-54859438-23	Ankrd44	0.0497745384010438	0.609799752971712
chr7	140047502	140049890	Merged-chr7-140048773-58	Msx3	0.049775024304473	0.254010259325675
chr1	155082636	155084695	Merged-chr1-155083493-57	Gm9530	0.049775024304473	0.289024911842502
